recall_id,organization,product_name,issue,category,updated_at,data_received_at,issue_category
64997,Transport Canada,Light Truck & Van recalled by MERCEDES-BENZ,Visual System,Light Truck & Van,2023-11-10,2023-11-14 03:12:49.171373,Vehicles
74576,Health Canada,"BD CD11b APC, CE",Performance issue,Medical devices - Haematology,2023-11-10,2023-11-14 03:12:49.171373,Health products
74577,Health Canada,Titan® Inflatable Penile Prosthesis,Performance issue,Medical devices - Gastroenterology & Urology,2023-11-10,2023-11-14 03:12:49.171373,Health products
74578,Health Canada,VITROS Chemistry Products CKMB Slides,Performance issue,Medical devices - Chemistry,2023-11-10,2023-11-14 03:12:49.171373,Health products
74587,Health Canada,All Herbaland brand gummy vitamins and supplements sold in bulk,Product safety,Natural health products,2023-11-10,2023-11-14 03:12:49.171373,Health products
73344,Health Canada,"Nitroglycerin 0.4 MG/ACT sprays and Nitrostat 0.3mg/0.6mg sublingual tablets (added on May 10, 2023)",Supply,Drugs,2023-11-10,2023-11-14 03:12:49.171373,Health products
74367,Transport Canada,SUV recalled by HYUNDAI,Seats And Restraints,SUV,2023-11-10,2023-11-14 03:12:49.171373,Vehicles
74588,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Accessories,Motorhome,2023-11-10,2023-11-14 03:12:49.171373,Vehicles
74580,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Engine,Truck - Med. & H.D.,2023-11-09,2023-11-14 03:12:49.171373,Vehicles
74534,Health Canada,DR Pro Tow-Behind Field and Brush Mowers,Fire hazard,Other,2023-11-09,2023-11-14 03:12:49.171373,Consumer products
74573,Health Canada,BD Infusion Sets,Labelling and packaging,"Medical devices - Dental, Health products - Medical devices - General hospital and personal use",2023-11-09,2023-11-14 03:12:49.171373,Health products
74574,Health Canada,ASAP OTC Wound Dressing Gel,Labelling,Natural health products,2023-11-09,2023-11-14 03:12:49.171373,Health products
74575,Health Canada,Biofire® Filmarray® Torch System Base,Performance issue,Medical devices - Chemistry,2023-11-09,2023-11-14 03:12:49.171373,Health products
74558,Health Canada,AKMI Kids Crop Top Plaid Long Sleeve Hoodie,Strangulation hazard,Clothing and accessories - Clothing,2023-11-09,2023-11-14 03:12:49.171373,Consumer products
74585,Canadian Food Inspection Agency,Naturally Brewed Soy Sauce,Microbial Contamination,Condiments,2023-11-09,2023-11-14 03:12:49.171373,Food
74153,Health Canada,"Sabril (vigabatrin) 500 mg sachets, DIN 02068036, lots 3209710A and 3207333A.  UPDATED September and November 2023 to add additional lots/products (see table).",Contamination,Drugs - Radiopharmaceuticals,2023-11-09,2023-11-14 03:12:49.171373,Health products
74463,Transport Canada,SUV recalled by JAGUAR,Electrical,SUV,2023-11-09,2023-11-14 03:12:49.171373,Vehicles
74572,Health Canada,NIV Angled Mouthpiece with Notch 22F/15F,Performance issue,Medical devices - Anaesthesiology,2023-11-09,2023-11-14 03:12:49.171373,Health products
74539,Canadian Food Inspection Agency,Shrimp Paste,"Egg, Fish, Soy",Fish and seafood - Frozen,2023-11-08,2023-11-14 03:12:49.171373,Food
74563,Health Canada,Novum Iq Large Volume Pump Unapproved Adhesive,Performance issue,Medical devices - General hospital and personal use,2023-11-08,2023-11-14 03:12:49.171373,Health products
74564,Health Canada,Poches À Sang Quadruple,Performance issue,Medical devices - Haematology,2023-11-08,2023-11-14 03:12:49.171373,Health products
74565,Health Canada,Alphenix INFX-8000v - Main Unit,Performance issue,Medical devices - Radiology,2023-11-08,2023-11-14 03:12:49.171373,Health products
74568,Health Canada,Vitrakvi,Contamination,Drugs,2023-11-08,2023-11-14 03:12:49.171373,Health products
74569,Health Canada,PRO-AAS EC 80,Product quality,Drugs,2023-11-08,2023-11-14 03:12:49.171373,Health products
74571,Health Canada,JAMP-ASA EC,Product quality,Drugs,2023-11-08,2023-11-14 03:12:49.171373,Health products
74561,Canadian Food Inspection Agency,"""Champignon Énoki"" (Enoki Mushrooms)",Listeria,Fruits and vegetables - Fresh,2023-11-08,2023-11-14 03:12:49.171373,Food
73357,Health Canada,Various unauthorized health products promoted for sexual enhancement,Unauthorized product,Drugs,2023-11-08,2023-11-14 03:12:49.171373,Health products
74562,Health Canada,Novum Iq Large Volume Pump Operator's Manual,Performance issue,Medical devices - General hospital and personal use,2023-11-08,2023-11-14 03:12:49.171373,Health products
74581,Transport Canada,SUV recalled by HONDA,Steering,SUV,2023-11-08,2023-11-14 03:12:49.171373,Vehicles
74584,Transport Canada,RV Trailer recalled by WINNEBAGO INDUSTRIES,Accessories,RV Trailer,2023-11-08,2023-11-14 03:12:49.171373,Vehicles
65806,Transport Canada,Bus recalled by MICRO BIRD,Electrical,Bus,2023-11-08,2023-11-14 03:12:49.171373,Vehicles
64880,Transport Canada,Bus recalled by MICRO BIRD,Seats And Restraints,Bus,2023-11-08,2023-11-14 03:12:49.171373,Vehicles
74579,Transport Canada,Motorcycle recalled by CANADIAN MOTOR IMPORT INC.,Brakes,Motorcycle,2023-11-08,2023-11-14 03:12:49.171373,Vehicles
74583,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Label,Motorhome,2023-11-08,2023-11-14 03:12:49.171373,Vehicles
74552,Health Canada,"Elekta Infinity, Elekta Synergy and Versa Hd",Performance issue,Medical devices - Radiology,2023-11-07,2023-11-14 03:12:49.171373,Health products
74553,Health Canada,Infusomat® Administration Sets,Device compatibility,Medical devices - General hospital and personal use,2023-11-07,2023-11-14 03:12:49.171373,Health products
74554,Health Canada,Safe-T-Vue 10,Labelling and packaging,Medical devices - Cardiovascular,2023-11-07,2023-11-14 03:12:49.171373,Health products
74555,Health Canada,Novum Iq Large Volume Pump Keypads,Performance issue,Medical devices - General hospital and personal use,2023-11-07,2023-11-14 03:12:49.171373,Health products
74424,Transport Canada,Motorcycle recalled by HARLEY-DAVIDSON,Brakes,Motorcycle,2023-11-07,2023-11-14 03:12:49.171373,Vehicles
74052,Transport Canada,Snowmobile recalled by POLARIS,Powertrain,Snowmobile,2023-11-07,2023-11-14 03:12:49.171373,Vehicles
66832,Transport Canada,Car recalled by BMW,Seats And Restraints,Car,2023-11-07,2023-11-14 03:12:49.171373,Vehicles
74550,Health Canada,Tire Dressing Mat – Good Stuff,Labelling and packaging,Chemicals,2023-11-07,2023-11-14 03:12:49.171373,Consumer products
74551,Health Canada,Drydock Strong Powerful Hull Cleaner,Chemical hazard,Chemicals,2023-11-07,2023-11-14 03:12:49.171373,Consumer products
74548,Health Canada,Gem Paks,Performance issue,Medical devices - Chemistry,2023-11-06,2023-11-14 03:12:49.171373,Health products
66640,Transport Canada,Car recalled by BMW,Visual System,Car,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
74549,Health Canada,Artis Icono Ceiling,Performance issue,Medical devices - Radiology,2023-11-06,2023-11-14 03:12:49.171373,Health products
74545,Health Canada,Achieva 1.5t MRI System-Main Unit,Performance issue,Medical devices - Radiology,2023-11-06,2023-11-14 03:12:49.171373,Health products
74537,Health Canada,STIHL MSA 300 Chain Saws,Laceration hazard,Tools and accessories,2023-11-06,2023-11-14 03:12:49.171373,Consumer products
64670,Transport Canada,Motorcycle recalled by POLARIS,Lights And Instruments,Motorcycle,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
65202,Transport Canada,Car recalled by BMW,Visual System,Car,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
71654,Transport Canada,Car recalled by BMW,Brakes,Car,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
74546,Health Canada,Rainbow Adhesive Sensors,Performance issue,Medical devices - Anaesthesiology,2023-11-06,2023-11-14 03:12:49.171373,Health products
64918,Transport Canada,Restricted-Use Vehicle recalled by POLARIS,Electrical,Restricted-Use Vehicle,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
74567,Canadian Food Inspection Agency,Assorted Chikkis,Extraneous Material,"Candy, confectionary, snacks and sweeteners",2023-11-06,2023-11-14 03:12:49.171373,Food
72109,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Accessories,Motorhome,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
74547,Health Canada,Braun Spike Adapter and Universal Fill Kit,Performance issue,Medical devices - General hospital and personal use,2023-11-06,2023-11-14 03:12:49.171373,Health products
74541,Transport Canada,Truck - Med. & H.D. recalled by MACK,Engine,Truck - Med. & H.D.,2023-11-06,2023-11-14 03:12:49.171373,Vehicles
74544,Transport Canada,RV Trailer recalled by FOREST RIVER,Lights And Instruments,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
74542,Transport Canada,SUV recalled by TOYOTA,Electrical,SUV,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65493,Transport Canada,RV Trailer recalled by JAYCO,Accessories,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
72270,Transport Canada,Motorhome recalled by TIFFIN,Suspension,Motorhome,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65491,Transport Canada,RV Trailer recalled by JAYCO,Accessories,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65487,Transport Canada,Car recalled by NISSAN,Powertrain,Car,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65308,Transport Canada,RV Trailer recalled by JAYCO,Accessories,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65307,Transport Canada,RV Trailer recalled by JAYCO,Accessories,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
74518,Health Canada,"Baby Feeding Nursing Pillow, Portable Breast Feeding Pillows, with two curved handles, for kids",Choking hazard,Other,2023-11-03,2023-11-14 03:12:49.171373,Consumer products
74540,Transport Canada,Motorcycle recalled by TRIUMPH,Brakes,Motorcycle,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
74299,Transport Canada,Car recalled by NISSAN,Visual System,Car,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
73745,Transport Canada,Motorhome recalled by TIFFIN,Electrical,Motorhome,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65492,Transport Canada,RV Trailer recalled by JAYCO,Accessories,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
74536,Canadian Food Inspection Agency,Chocolate Croissant,Tree nut,Grain products,2023-11-03,2023-11-14 03:12:49.171373,Food
73843,Transport Canada,Motorhome recalled by TIFFIN,Electrical,Motorhome,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
65306,Transport Canada,RV Trailer recalled by JAYCO,Accessories,RV Trailer,2023-11-03,2023-11-14 03:12:49.171373,Vehicles
74566,Canadian Food Inspection Agency,Mushroom Soup Mixes,Sulphites,Multiple food items,2023-11-03,2023-11-14 03:12:49.171373,Food
74538,Health Canada,Pink Cherry Health Products,Unauthorized product,Drugs,2023-11-03,2023-11-14 03:12:49.171373,Health products
74517,Health Canada,FLUDEOXYGLUCOSE (18F) INJECTION,Product quality,Drugs,2023-11-02,2023-11-14 03:12:49.171373,Health products
74514,Health Canada,CardioMEMS™ Patient Electronics System,Performance issue,Medical devices - Cardiovascular,2023-11-02,2023-11-14 03:12:49.171373,Health products
74515,Health Canada,Ge Healthcare Universal Viewer,Performance issue,Medical devices - Radiology,2023-11-02,2023-11-14 03:12:49.171373,Health products
74516,Health Canada,Change Healthcare Radiology Solutions™,Performance issue,Medical devices - General hospital and personal use,2023-11-02,2023-11-14 03:12:49.171373,Health products
74485,Transport Canada,School Bus recalled by LION ÉLECTRIQUE,Brakes,School Bus,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
65022,Transport Canada,Motorhome recalled by TIFFIN,Structure,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
65328,Transport Canada,Motorhome recalled by TIFFIN,Seats And Restraints,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
65124,Transport Canada,Motorhome recalled by TIFFIN,Wheels,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
65072,Transport Canada,Motorhome recalled by TIFFIN,Lights And Instruments,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
65023,Transport Canada,Motorhome recalled by TIFFIN,Electrical,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
64707,Transport Canada,Motorhome recalled by TIFFIN,Accessories,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
64709,Transport Canada,Motorhome recalled by TIFFIN,Lights And Instruments,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
64771,Transport Canada,SUV recalled by NISSAN,Structure,SUV,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
65567,Transport Canada,Motorhome recalled by TIFFIN,Powertrain,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
64878,Transport Canada,Motorhome recalled by TIFFIN,Structure,Motorhome,2023-11-02,2023-11-14 03:12:49.171373,Vehicles
74501,Health Canada,"Various Armada, Atomic, and Salomon brand ski bindings",Fall hazard,Sports and fitness,2023-11-02,2023-11-14 03:12:49.171373,Consumer products
74560,Canadian Food Inspection Agency,Apricot Halves in Light Syrup,Chemical,Fruits and vegetables - Canned,2023-11-02,2023-11-14 03:12:49.171373,Food
74559,Canadian Food Inspection Agency,Coconut Cake Powder,Extraneous Material,"Candy, confectionary, snacks and sweeteners",2023-11-02,2023-11-14 03:12:49.171373,Food
74497,Health Canada,"Certain Epic brand residential condensing boilers, combi boilers and packaged systems",Poisoning hazard,Appliances,2023-11-02,2023-11-14 03:12:49.171373,Consumer products
74510,Health Canada,Philips Brilliance CT Big Bore System,Performance issue,Medical devices - Radiology,2023-11-01,2023-11-14 03:12:49.171373,Health products
74521,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Seats And Restraints,Truck - Med. & H.D.,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74529,Transport Canada,Car recalled by FERRARI,Engine,Car,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74528,Transport Canada,SUV recalled by MAZDA,Powertrain,SUV,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
74526,Transport Canada,"Car recalled by LUCID MOTORS, INC.",Electrical,Car,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
65278,Transport Canada,Motorcycle recalled by DUCATI,Structure,Motorcycle,2023-11-01,2023-11-14 03:12:49.171373,Vehicles
