recall_id,organization,product_name,issue,category,updated_at,data_received_at
64997,Transport Canada,Light Truck & Van recalled by MERCEDES-BENZ,Visual System,Vehicles - Light Truck & Van,2023-11-10,2023-11-14 03:12:49.171373
74367,Transport Canada,SUV recalled by HYUNDAI,Seats And Restraints,Vehicles - SUV,2023-11-10,2023-11-14 03:12:49.171373
74588,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Accessories,Vehicles - Motorhome,2023-11-10,2023-11-14 03:12:49.171373
72622,Transport Canada,A.T.V. recalled by CANADIAN MOTOR IMPORT INC.,Lights And Instruments,"Vehicles - A.T.V., Vehicles - Restricted-Use Vehicle",2023-09-12,2023-11-14 03:12:49.171373
74277,Transport Canada,SUV recalled by PORSCHE,Electrical,"Vehicles - Car, Vehicles - SUV",2023-09-12,2023-11-14 03:12:49.171373
74463,Transport Canada,SUV recalled by JAGUAR,Electrical,Vehicles - SUV,2023-11-09,2023-11-14 03:12:49.171373
74580,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Engine,Vehicles - Truck - Med. & H.D.,2023-11-09,2023-11-14 03:12:49.171373
65037,Transport Canada,Car recalled by KIA,Brakes,"Vehicles - Car, Vehicles - SUV",2023-09-11,2023-11-14 03:12:49.171373
73945,Transport Canada,Car recalled by HONDA,Brakes,"Vehicles - Light Truck & Van, Vehicles - SUV, Vehicles - Car",2023-09-11,2023-11-14 03:12:49.171373
74576,Health Canada,"BD CD11b APC, CE",Performance issue,Health products - Medical devices - Haematology,2023-11-10,2023-11-14 03:12:49.171373
74587,Health Canada,All Herbaland brand gummy vitamins and supplements sold in bulk,Product safety,Health products - Natural health products,2023-11-10,2023-11-14 03:12:49.171373
74578,Health Canada,VITROS Chemistry Products CKMB Slides,Performance issue,Health products - Medical devices - Chemistry,2023-11-10,2023-11-14 03:12:49.171373
74577,Health Canada,Titan® Inflatable Penile Prosthesis,Performance issue,Health products - Medical devices - Gastroenterology & Urology,2023-11-10,2023-11-14 03:12:49.171373
73344,Health Canada,"Nitroglycerin 0.4 MG/ACT sprays and Nitrostat 0.3mg/0.6mg sublingual tablets (added on May 10, 2023)",Supply,Health products - Drugs,2023-11-10,2023-11-14 03:12:49.171373
74534,Health Canada,DR Pro Tow-Behind Field and Brush Mowers,Fire hazard,Consumer products - Other,2023-11-09,2023-11-14 03:12:49.171373
74558,Health Canada,AKMI Kids Crop Top Plaid Long Sleeve Hoodie,Strangulation hazard,Consumer products - Clothing and accessories - Clothing,2023-11-09,2023-11-14 03:12:49.171373
74585,Canadian Food Inspection Agency,Naturally Brewed Soy Sauce,Microbial Contamination,Food - Condiments,2023-11-09,2023-11-14 03:12:49.171373
64880,Transport Canada,Bus recalled by MICRO BIRD,Seats And Restraints,Vehicles - Bus,2023-11-08,2023-11-14 03:12:49.171373
74579,Transport Canada,Motorcycle recalled by CANADIAN MOTOR IMPORT INC.,Brakes,Vehicles - Motorcycle,2023-11-08,2023-11-14 03:12:49.171373
74581,Transport Canada,SUV recalled by HONDA,Steering,Vehicles - SUV,2023-11-08,2023-11-14 03:12:49.171373
74583,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Label,Vehicles - Motorhome,2023-11-08,2023-11-14 03:12:49.171373
74584,Transport Canada,RV Trailer recalled by WINNEBAGO INDUSTRIES,Accessories,Vehicles - RV Trailer,2023-11-08,2023-11-14 03:12:49.171373
65806,Transport Canada,Bus recalled by MICRO BIRD,Electrical,Vehicles - Bus,2023-11-08,2023-11-14 03:12:49.171373
74550,Health Canada,Tire Dressing Mat – Good Stuff,Labelling and packaging,Consumer products - Chemicals,2023-11-07,2023-11-14 03:12:49.171373
74551,Health Canada,Drydock Strong Powerful Hull Cleaner,Chemical hazard,Consumer products - Chemicals,2023-11-07,2023-11-14 03:12:49.171373
74537,Health Canada,STIHL MSA 300 Chain Saws,Laceration hazard,Consumer products - Tools and accessories,2023-11-06,2023-11-14 03:12:49.171373
